PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23
Henning + Cody,Bear Branch Sportsfield Park,Main,2022-05-12 17:26,49,-5,3,3,2,3,4,4,2,3,3,2,3,3,3,2,2,2,3,2,,,,,
Ryan + BurtRuckus,Bear Branch Sportsfield Park,Main,2022-05-12 17:26,52,-2,3,2,3,2,3,4,3,2,3,2,3,3,3,4,3,3,3,3,,,,,
Mike Bevel,Bear Branch Sportsfield Park,Main,2022-05-12 17:26,57,3,3,2,3,3,5,4,3,3,2,3,4,4,4,2,3,3,3,3,,,,,
Par,Stonebridge Church,Main,2022-05-10 16:57,55,,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Stonebridge Church,Main,2022-05-10 16:57,56,1,2,3,5,2,3,4,3,4,4,4,2,3,3,3,3,2,3,3,,,,,
BurtRuckus,Stonebridge Church,Main,2022-05-10 16:57,67,12,4,5,6,3,4,5,2,3,4,4,3,2,3,3,3,5,4,4,,,,,
Ryan,Stonebridge Church,Main,2022-05-10 16:57,53,-2,3,3,2,4,4,4,3,3,3,3,2,3,2,2,4,4,2,2,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-05-05 16:08,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-05-05 16:08,54,0,2,2,3,3,3,4,3,3,2,2,4,3,4,3,5,3,3,2,,,,,
Mears,Bear Branch Sportsfield Park,Main,2022-05-05 16:08,60,6,3,3,3,3,4,3,3,3,3,2,4,3,4,3,4,3,5,4,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-05-05 16:08,56,2,3,3,3,2,4,4,3,3,2,2,4,3,4,3,2,4,4,3,,,,,
Killamon Daru,Bear Branch Sportsfield Park,Main,2022-05-05 16:08,60,6,3,2,3,2,5,4,4,3,3,3,4,4,3,4,2,5,3,3,,,,,
